sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
	NCBI:txid253855	Sceliphron caementarium			http://purl.obolibrary.org/obo/UBERON_0002548	larva	http://purl.obolibrary.org/obo/PATO_0001422	dead	http://purl.obolibrary.org/obo/RO_0002209	has parasitoid		GBIF:1307234	Acroricnus seductor (Scopoli, 1786)			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001422	alive				Italy, province of Cremona, Castelleone	45.294444	9.776944			2003-07	10.1163/157075511X554428	https://researcharchive.calacademy.org/research/entomology/Entomology_Resources/Hymenoptera/sphecidae/copies/Polidori_et_al_2011_host_detection.pdf 	Polidori, C., Federici, M., Mendiola, P., Selfa, J. and Andrietti, F. (2011). Host detection and rate of parasitism by Acroricnus seductor (Hymenoptera: Ichneumonidae), a natural enemy of mud-dauber wasps (Hymenoptera: Sphecidae). Animal Biology 61: 57-73.
	NCBI:txid2495211	Sceliphron destillatorium			http://purl.obolibrary.org/obo/UBERON_0002548	larva	http://purl.obolibrary.org/obo/PATO_0001422	dead	http://purl.obolibrary.org/obo/RO_0002209	has parasitoid		GBIF:1307234	Acroricnus seductor (Scopoli, 1786)			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001422	alive				Italy, Romagna							http://researcharchive.calacademy.org/research/entomology/Entomology_Resources/Hymenoptera/sphecidae/copies/Campadelli_et_al_1999_Sceliphron_caementarium_parasitoids.pdf	Campadelli, G., Pagliano, G., Scaramozzino, PL. and Strumia, F. (1999). Parassitoidi e inquilini di Sceliphron caementarium (Drury, 1773) (Hymenoptera: Sphecidae) in Romagna. Bollettino. Museo Regionale di Scienze Naturali Torino 16: 225-240.
	NCBI:txid2495211	Sceliphron destillatorium			http://purl.obolibrary.org/obo/UBERON_0002548	larva	http://purl.obolibrary.org/obo/PATO_0001422	dead	http://purl.obolibrary.org/obo/RO_0002209	has parasitoid		GBIF:1307234	Acroricnus seductor (Scopoli, 1786)			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001422	alive											http://www.faunedefrance.org/bibliotheque/docs/L.BERLAND(FdeFr19)Hym.vespiformes2.pdf	Berland, L. (1928). Faune de France. Vol. 19. Hyménoptères vespiformes. II (Eumenidae, Vespidae, Masaridae, Bethylidae, Dryinidae, Embolemidae). Paul Lechevalier, Paris. VIII + 208 pp.
	NCBI:txid2495212	Sceliphron spirifex			http://purl.obolibrary.org/obo/UBERON_0002548	larva	http://purl.obolibrary.org/obo/PATO_0001422	dead	http://purl.obolibrary.org/obo/RO_0002209	has parasitoid		GBIF:1307234	Acroricnus seductor (Scopoli, 1786)																		Giuglia, D. (1931a). Alcune osservazioni intorno al nido e al bozzolo dello Sceliphron spirifex Lin. Bollettino della Società Entomologica Italiana 63:45-48.
	NCBI:txid2495212	Sceliphron spirifex			http://purl.obolibrary.org/obo/UBERON_0002548	larva	http://purl.obolibrary.org/obo/PATO_0001422	dead	http://purl.obolibrary.org/obo/RO_0002209	has parasitoid		GBIF:1307234	Acroricnus seductor (Scopoli, 1786)			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001422	alive				Italy, Monterosso al Mare					1905-04-11			Guiglia, D. (1931). Alcune osservazioni intorno al nido e al bozzolo dello Sceliphron spirifex Lin. Bollettino della Società Entomologica Italiana 63: 45-48.
	NCBI:txid2495212	Sceliphron spirifex			http://purl.obolibrary.org/obo/UBERON_0002548	larva	http://purl.obolibrary.org/obo/PATO_0001422	dead	http://purl.obolibrary.org/obo/RO_0002209	has parasitoid		GBIF:1307234	Acroricnus seductor (Scopoli, 1786)			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001422	alive				Italy, Tuscany, S. Vincenzo, between Castageto Carducci amd Piombinoe					1930-06			Grandi, G. (1930). Contributi alla conoscenza biologica e morfologica degli Imenotteri melliferi e predatori. XI. Bollettino del Laboratorio di Entomologia del R. Istituto Superiore Agrario di Bologna 3: 302-343, pls. IX-XII
	NCBI:txid253855	Sceliphron caementarium			http://purl.obolibrary.org/obo/UBERON_0002548	larva	http://purl.obolibrary.org/obo/PATO_0001422	dead	http://purl.obolibrary.org/obo/RO_0002209	has parasitoid		GBIF:1307233	Acroricnus tricolor Mitchell, 1950			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001422	alive				Puerto Rico							http://www.caribbeanahigroup.org/genaropdf/1996sceliphroncaemetarium.pdf	Genaro, JA. (1996). Sobre la nidificación de Sceliphron caementarium y primer registro de Trypoxylon texenxe para Puerto Rico (Hymenoptera: Sphecidae). Caribbean Journal of Science 32: 243-244. 
	NCBI:txid2495211	Sceliphron destillatorium			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001421	alive	http://purl.obolibrary.org/obo/RO_0002439	preys on		ITIS:849966	Aculepeira armida (Savigny et Audouin, 1826)			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001422	dead				Crimea						10.1134/S001387381403004X	https://researcharchive.calacademy.org/research/entomology/Entomology_Resources/Hymenoptera/sphecidae/copies/Fateryga_Kovblyuk_2014_English.pdf	Fateryga, AV. and Kovblyuk, МM. (2014).Nesting ecology of the wasps Sceliphron destillatorium (Illiger, 1807) (Hymenoptera, Sphecidae) in the Crimea. Entomological Review 9: 330-336.
	NCBI:txid2495211	Sceliphron destillatorium			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001421	alive	http://purl.obolibrary.org/obo/RO_0002622	visits flowers of		NCBI:txid40902	Aegopodium podagraria L.	http://purl.obolibrary.org/obo/PO_0009046	flower			http://purl.obolibrary.org/obo/PATO_0001422	alive				Poland, Piwoda					2010-06-17		https://www.researchgate.net/publication/259949605_New_records_of_two_alien_mud_daubers_Sceliphron_destillatorium_Ill_and_Sceliphron_curvatum_Sm_Hymenoptera_Sphecidae_from_Poland_with_comments_on_expansion_of_their_ranges	Wiśniowski, B., Huflejt, T., Babik, H., Czechowski, W. and Pawlikowski, T. (2013). New records of two alien mud daubers Sceliphron destillatorium (Ill.) and Sceliphron curvatum (Sm.) (Hymenoptera, Sphecidae) from Poland with comments on expansion of their ranges. Fragmenta Faunistica 56(1): 25-37. 
	NCBI:txid2495211	Sceliphron destillatorium			http://purl.obolibrary.org/obo/UBERON_0007023	adult	http://purl.obolibrary.org/obo/PATO_0001421	alive	http://purl.obolibrary.org/obo/RO_0002439	preys on		NCBI:txid1226120	Agalenatea redii (Scopoli, 1763)			http://purl.obolibrary.org/obo/UBERON_0034919	juvenile	http://purl.obolibrary.org/obo/PATO_0001422	dead				Tajikistan: Kondara and Uzbekistan: near Samarkand							https://researcharchive.calacademy.org/research/entomology/Entomology_Resources/Hymenoptera/sphecidae/copies/Sychevskaya_1973.pdf	Sychevskaya, VI. (1973). Пауки, собранные в гнездах обыкновенного пелопея – Scelifron [sic] destillatorium (Ill) [sic] (Hymenoptera, Sphecidae) в Средней Азии [= Pauki, sobrannyie v gnezdakh obyknovennogo pelopeya – Scelifron [sic] destillatorium (Ill) [sic] (Hymenoptera, Sphecidae) v Sredney Azii, = Spiders collected in nests of common pelopoeus Sceliphron destillatorium (Ill.) in Central Asia]. Izvestiya Akademii Nauk Tadzikhskoy SSR, Otdeleniye Biologicheskikh Nauk 53: 50-53. 
